variant,Era 1 (2016-2018)_n,Era 1 (2016-2018)_high_pct,Era 2 (2019-2021)_n,Era 2 (2019-2021)_high_pct,Era 3 (2022-2025)_n,Era 3 (2022-2025)_high_pct,total_samples
Expanded|High|Above|Above,29,89.66,23,95.65,33,93.94,85
Normal|High|Above|Above,20,90.0,21,90.48,25,96.0,66
Expanded|High|Within|Below,17,5.88,21,4.76,28,3.57,66
Expanded|High|Within|Above,25,96.0,15,100.0,23,91.3,63
Normal|High|Within|Above,14,92.86,25,96.0,23,95.65,62
Expanded|Low|Within|Above,12,91.67,25,100.0,21,90.48,58
Compressed|High|Above|Above,0,,27,100.0,30,93.33,57
Expanded|High|Within|Within,13,46.15,18,44.44,26,61.54,57
Expanded|Low|Below|Below,12,8.33,22,4.55,22,4.55,56
Normal|Low|Within|Above,11,100.0,17,94.12,19,84.21,47
Compressed|High|Within|Above,0,,18,100.0,27,88.89,45
Normal|High|Within|Within,11,27.27,15,53.33,16,56.25,42
Normal|Low|Below|Below,11,0.0,11,0.0,20,5.0,42
Compressed|High|Within|Below,0,,16,0.0,25,4.0,41
Normal|Low|Within|Below,10,20.0,10,0.0,21,4.76,41
Compressed|Low|Within|Below,0,,14,0.0,24,8.33,38
Expanded|Low|Within|Within,0,,20,50.0,17,41.18,37
Normal|High|Within|Below,0,,19,0.0,16,12.5,35
Expanded|Low|Within|Below,0,,16,6.25,18,16.67,34
Normal|High|Above|Within,10,50.0,12,41.67,12,41.67,34
Normal|High|Below|Below,11,0.0,11,0.0,12,16.67,34
Compressed|Low|Within|Above,0,,13,92.31,19,89.47,32
Expanded|High|Above|Within,0,,20,65.0,11,54.55,31
Expanded|None|Within|Above,13,92.31,0,,16,93.75,29
Compressed|Low|Below|Below,0,,12,16.67,15,6.67,27
Normal|Low|Within|Within,0,,15,60.0,11,54.55,26
Compressed|High|Above|Within,0,,12,33.33,12,50.0,24
Expanded|Low|Above|Above,0,,10,100.0,14,92.86,24
Compressed|Low|Within|Within,0,,12,50.0,11,27.27,23
Expanded|Low|Below|Within,0,,10,50.0,13,53.85,23
Compressed|Both|Above|Above,0,,0,,20,95.0,20
Expanded|High|Above|Below,0,,0,,19,5.26,19
Compressed|Both|Below|Below,0,,0,,17,0.0,17
Compressed|Both|Within|Above,0,,0,,16,93.75,16
Compressed|High|Within|Within,0,,16,37.5,0,,16
Compressed|Both|Within|Within,0,,0,,15,53.33,15
Compressed|Both|Within|Below,0,,0,,15,0.0,15
Compressed|Low|Above|Above,0,,13,100.0,0,,13
Expanded|None|Within|Below,12,0.0,0,,0,,12
Normal|High|Above|Below,0,,0,,12,8.33,12
