variant,asia_regime,london_sweep,transition_vs_london,ny_open_vs_london,n,first_high_pct,first_low_pct,sweep_both_pct,fail_pct,median_pen_high,median_pen_low,reliability
Expanded|High|Within|Within,Expanded,High,Within,Within,182,53.85,46.15,52.75,52.75,11.85,10.6,High
Expanded|High|Above|Above,Expanded,High,Above,Above,153,88.24,11.76,45.1,45.1,7.5,8.65,High
Normal|High|Above|Above,Normal,High,Above,Above,134,85.82,14.18,38.06,38.06,5.1,12.15,Medium
Normal|High|Within|Within,Normal,High,Within,Within,128,44.53,55.47,48.44,48.44,11.25,8.2,Medium
Expanded|Low|Within|Within,Expanded,Low,Within,Within,126,46.03,53.97,45.24,45.24,11.93,14.27,Medium
Compressed|High|Within|Within,Compressed,High,Within,Within,117,42.74,57.26,52.14,52.14,5.38,7.6,Medium
Compressed|High|Above|Above,Compressed,High,Above,Above,109,88.07,11.93,44.95,44.95,4.8,7.95,Medium
Compressed|Low|Within|Within,Compressed,Low,Within,Within,105,50.48,49.52,51.43,51.43,7.7,9.6,Medium
Normal|Low|Within|Within,Normal,Low,Within,Within,102,54.9,45.1,36.27,36.27,6.32,7.2,Medium
Expanded|None|Within|Within,Expanded,None,Within,Within,94,52.13,47.87,46.81,46.81,7.8,11.35,Medium
Expanded|Low|Below|Below,Expanded,Low,Below,Below,92,16.3,83.7,39.13,39.13,6.2,12.1,Medium
Normal|Low|Below|Below,Normal,Low,Below,Below,85,9.41,90.59,38.82,38.82,6.37,7.4,Medium
Compressed|Both|Within|Within,Compressed,Both,Within,Within,59,35.59,64.41,49.15,49.15,11.28,10.63,Medium
Expanded|Low|Above|Above,Expanded,Low,Above,Above,59,84.75,15.25,52.54,52.54,6.7,11.5,Medium
Compressed|Both|Above|Above,Compressed,Both,Above,Above,56,85.71,14.29,39.29,39.29,7.5,17.1,Medium
Compressed|Low|Below|Below,Compressed,Low,Below,Below,52,11.54,88.46,28.85,28.85,11.28,9.5,Medium
Expanded|None|Above|Above,Expanded,None,Above,Above,51,92.16,7.84,56.86,56.86,6.1,26.58,Medium
Expanded|High|Below|Below,Expanded,High,Below,Below,47,14.89,85.11,46.81,46.81,10.1,4.12,Low
Expanded|None|Below|Below,Expanded,None,Below,Below,46,13.04,86.96,60.87,60.87,13.25,6.82,Low
Normal|None|Within|Within,Normal,None,Within,Within,40,50.0,50.0,70.0,70.0,5.6,5.58,Low
Compressed|Both|Below|Below,Compressed,Both,Below,Below,37,10.81,89.19,37.84,37.84,17.23,6.4,Low
Normal|Both|Within|Within,Normal,Both,Within,Within,35,37.14,62.86,34.29,34.29,9.85,13.03,Low
Normal|Both|Below|Below,Normal,Both,Below,Below,34,20.59,79.41,35.29,35.29,9.3,8.1,Low
Compressed|Low|Above|Above,Compressed,Low,Above,Above,32,78.12,21.88,53.12,53.12,5.4,3.8,Low
Normal|Low|Above|Above,Normal,Low,Above,Above,31,90.32,9.68,51.61,51.61,6.8,8.8,Low
Compressed|High|Below|Below,Compressed,High,Below,Below,31,22.58,77.42,54.84,54.84,5.05,4.55,Low
Normal|Both|Above|Above,Normal,Both,Above,Above,28,85.71,14.29,39.29,39.29,11.47,12.02,Low
Normal|High|Below|Below,Normal,High,Below,Below,27,18.52,81.48,51.85,51.85,9.3,8.17,Low
Expanded|Both|Above|Above,Expanded,Both,Above,Above,24,87.5,12.5,20.83,20.83,9.05,32.5,Low
Compressed|None|Within|Within,Compressed,None,Within,Within,17,52.94,47.06,52.94,52.94,19.3,6.48,Low
Normal|None|Above|Above,Normal,None,Above,Above,16,93.75,6.25,75.0,75.0,1.9,0.3,Low
Expanded|Both|Below|Below,Expanded,Both,Below,Below,16,0.0,100.0,31.25,31.25,,13.93,Low
Expanded|Both|Within|Within,Expanded,Both,Within,Within,13,38.46,61.54,53.85,53.85,4.95,6.95,Low
Normal|None|Below|Below,Normal,None,Below,Below,9,11.11,88.89,66.67,66.67,8.4,7.5,Low
Compressed|None|Above|Above,Compressed,None,Above,Above,6,100.0,0.0,16.67,16.67,4.08,,Low
Compressed|None|Below|Below,Compressed,None,Below,Below,3,0.0,100.0,66.67,66.67,,1.35,Low
